method,threshold,accuracy,balanced_accuracy,precision,recall,f1,specificity,g_mean,mcc,tn,fp,fn,tp,status,roc_auc,pr_auc,dataset,scenario,strategy,strategy_group,threshold_source,seed
SMOTE + RF,0.31,0.9696727853152434,0.5879324215607401,0.0625,0.2,0.09523809523809523,0.9758648431214803,0.4417838483062685,0.09919317058493984,1213.0,30.0,8.0,2.0,ok,0.8218825422365245,0.050502037859255625,Abalone19,threshold_optimization,train_best_youden,train_optimized,train,0
SMOTE + RF,0.31,0.9696727853152434,0.5879324215607401,0.0625,0.2,0.09523809523809523,0.9758648431214803,0.4417838483062685,0.09919317058493984,1213.0,30.0,8.0,2.0,ok,0.8218825422365245,0.050502037859255625,Abalone19,threshold_optimization,train_best_mcc,train_optimized,train,0
SMOTE + RF,0.26,0.9640861931364725,0.6347144006436042,0.07317073170731707,0.3,0.11764705882352941,0.9694288012872083,0.5392853051828526,0.134752349126399,1205.0,38.0,7.0,3.0,ok,0.8218825422365245,0.050502037859255625,Abalone19,threshold_optimization,ghost_kappa,ghost,train,0
SMOTE + RF,0.26,0.9640861931364725,0.6347144006436042,0.07317073170731707,0.3,0.11764705882352941,0.9694288012872083,0.5392853051828526,0.134752349126399,1205.0,38.0,7.0,3.0,ok,0.8218825422365245,0.050502037859255625,Abalone19,threshold_optimization,ghost_f1,ghost,train,0
SMOTE + RF,0.26,0.9640861931364725,0.6347144006436042,0.07317073170731707,0.3,0.11764705882352941,0.9694288012872083,0.5392853051828526,0.134752349126399,1205.0,38.0,7.0,3.0,ok,0.8218825422365245,0.050502037859255625,Abalone19,threshold_optimization,ghost_g_mean,ghost,train,0
SMOTE + RF,0.26,0.9640861931364725,0.6347144006436042,0.07317073170731707,0.3,0.11764705882352941,0.9694288012872083,0.5392853051828526,0.134752349126399,1205.0,38.0,7.0,3.0,ok,0.8218825422365245,0.050502037859255625,Abalone19,threshold_optimization,ghost_youden,ghost,train,0
SMOTE + RF,0.26,0.9640861931364725,0.6347144006436042,0.07317073170731707,0.3,0.11764705882352941,0.9694288012872083,0.5392853051828526,0.134752349126399,1205.0,38.0,7.0,3.0,ok,0.8218825422365245,0.050502037859255625,Abalone19,threshold_optimization,ghost_mcc,ghost,train,0
SMOTE + RF,0.12,0.8978451715881883,0.7501206757843926,0.046153846153846156,0.6,0.08571428571428572,0.9002413515687852,0.7349454475954464,0.14596663595706433,1119.0,124.0,4.0,6.0,ok,0.8218825422365245,0.050502037859255625,Abalone19,threshold_optimization,validation_best_f1,validation_optimized,validation,0
SMOTE + RF,0.060000000000000005,0.8379888268156425,0.7695494770716009,0.033816425120772944,0.7,0.06451612903225806,0.8390989541432019,0.7664002008743482,0.12916743593815774,1043.0,200.0,3.0,7.0,ok,0.8218825422365245,0.050502037859255625,Abalone19,threshold_optimization,validation_best_g_mean,validation_optimized,validation,0
SMOTE + RF,0.060000000000000005,0.8379888268156425,0.7695494770716009,0.033816425120772944,0.7,0.06451612903225806,0.8390989541432019,0.7664002008743482,0.12916743593815774,1043.0,200.0,3.0,7.0,ok,0.8218825422365245,0.050502037859255625,Abalone19,threshold_optimization,validation_best_youden,validation_optimized,validation,0
SMOTE + RF,0.060000000000000005,0.8379888268156425,0.7695494770716009,0.033816425120772944,0.7,0.06451612903225806,0.8390989541432019,0.7664002008743482,0.12916743593815774,1043.0,200.0,3.0,7.0,ok,0.8218825422365245,0.050502037859255625,Abalone19,threshold_optimization,validation_best_mcc,validation_optimized,validation,0
