dataset,method,threshold,balanced_accuracy,precision,recall,f1,g_mean,mcc,roc_auc,pr_auc,accuracy,tn,fp,fn,tp,status,scenario,seed
Credit Card Fraud Detection,EasyEnsemble,0.5,0.9519265015059024,0.04408499841420869,0.9391891891891891,0.08421690396849439,0.9518412814877348,0.1993677617642401,0.9880569105948671,0.7512962408913042,0.9646196879791206,82281.0,3014.0,9.0,139.0,ok,real_repeated_split,2
Credit Card Fraud Detection,RUSBoost,0.5,0.9329067005923797,0.038165764739390484,0.9054054054054054,0.07324405575293796,0.9325012551054281,0.18137388481243807,0.964620720139801,0.1498522183552938,0.960312723101951,81918.0,3377.0,14.0,134.0,ok,real_repeated_split,2
AID362 PubChem Bioassay,Baseline RF,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.8568983675618748,0.2865574926827472,0.985981308411215,1266.0,0.0,18.0,0.0,ok,real_repeated_split,0
AID362 PubChem Bioassay,RF (balanced_subsample),0.5,0.5273828330700369,0.5,0.05555555555555555,0.1,0.23560915264533125,0.1632685250994453,0.8370414253115674,0.18342959936050846,0.985981308411215,1265.0,1.0,17.0,1.0,ok,real_repeated_split,0
AID362 PubChem Bioassay,Class weight LogisticRegression,0.5,0.7359136387572407,0.08620689655172414,0.5555555555555556,0.14925373134328357,0.7134702835666924,0.19350212304097983,0.8508425487098472,0.12355290779075122,0.9112149532710281,1160.0,106.0,8.0,10.0,ok,real_repeated_split,0
AID362 PubChem Bioassay,Custom weighted log-loss LR,0.5,0.6567930489731437,0.1935483870967742,0.3333333333333333,0.24489795918367346,0.5716213095552434,0.2401892267741144,0.869624363700193,0.16954000901949873,0.971183800623053,1241.0,25.0,12.0,6.0,ok,real_repeated_split,0
AID362 PubChem Bioassay,Random Oversampling + RF,0.5,0.5821484992101106,0.5,0.16666666666666666,0.25,0.40776429706256256,0.28323158489838607,0.8729155695980341,0.28122325619744365,0.985981308411215,1263.0,3.0,15.0,3.0,ok,real_repeated_split,0
AID362 PubChem Bioassay,Random Undersampling + RF,0.5,0.7959452343338599,0.04081632653061224,0.8888888888888888,0.07804878048780488,0.7905000272844642,0.15110157499296922,0.8203220993505353,0.08272224831439326,0.705607476635514,890.0,376.0,2.0,16.0,ok,real_repeated_split,0
AID362 PubChem Bioassay,SMOTE + RF,0.5,0.6099262769878884,0.5714285714285714,0.2222222222222222,0.32,0.470845653349978,0.3510267004451356,0.8711822011585045,0.2799285048108835,0.9867601246105919,1263.0,3.0,14.0,4.0,ok,real_repeated_split,0
AID362 PubChem Bioassay,Borderline-SMOTE + RF,0.5,0.5547656661400737,0.5,0.1111111111111111,0.18181818181818182,0.3330699327917381,0.23107688003470161,0.8486922941899246,0.2848840062822202,0.985981308411215,1264.0,2.0,16.0,2.0,ok,real_repeated_split,0
AID362 PubChem Bioassay,ADASYN + RF,0.5,0.5829383886255924,0.75,0.16666666666666666,0.2727272727272727,0.4080870231099649,0.3499481596679375,0.8295813586097947,0.29062848261664537,0.9875389408099688,1265.0,1.0,15.0,3.0,ok,real_repeated_split,0
AID362 PubChem Bioassay,SMOTE-Tomek + RF,0.5,0.6099262769878884,0.5714285714285714,0.2222222222222222,0.32,0.470845653349978,0.3510267004451356,0.8569861330524837,0.3021704436489224,0.9867601246105919,1263.0,3.0,14.0,4.0,ok,real_repeated_split,0
AID362 PubChem Bioassay,SMOTE-ENN + RF,0.5,0.55318588730911,0.25,0.1111111111111111,0.15384615384615385,0.33254250580558353,0.15893120618318063,0.832587326663156,0.26604953668342024,0.9828660436137072,1260.0,6.0,16.0,2.0,ok,real_repeated_split,0
AID362 PubChem Bioassay,Balanced Bagging,0.5,0.8023959978936283,0.060085836909871244,0.7777777777777778,0.11155378486055777,0.8020182545765645,0.18449296974248588,0.8540898718623837,0.15509795364348666,0.8263239875389408,1047.0,219.0,4.0,14.0,ok,real_repeated_split,0
AID362 PubChem Bioassay,Balanced Random Forest,0.5,0.8499210110584519,0.08152173913043478,0.8333333333333334,0.1485148514851485,0.8497591270391326,0.23482691221240246,0.8755485343163067,0.18989939990945587,0.8660436137071651,1097.0,169.0,3.0,15.0,ok,real_repeated_split,0
AID362 PubChem Bioassay,EasyEnsemble,0.5,0.768562401263823,0.038461538461538464,0.8333333333333334,0.07352941176470588,0.7658282385726324,0.13731793046727794,0.8416710549411971,0.08150613142523672,0.705607476635514,891.0,375.0,3.0,15.0,ok,real_repeated_split,0
AID362 PubChem Bioassay,RUSBoost,0.5,,,,,,,,,,,,,,"error: ValueError: BaseClassifier in AdaBoostClassifier ensemble is worse than random, ensemble can not be fit.",real_repeated_split,0
AID362 PubChem Bioassay,Baseline RF,0.5,0.5277777777777778,1.0,0.05555555555555555,0.10526315789473684,0.23570226039551584,0.23413550268834038,0.8371730735474812,0.25242588301056335,0.9867601246105919,1266.0,0.0,17.0,1.0,ok,real_repeated_split,1
AID362 PubChem Bioassay,RF (balanced_subsample),0.5,0.49960505529225907,0.0,0.0,0.0,0.0,-0.003328940796516688,0.84333859926277,0.1584395561300928,0.985202492211838,1265.0,1.0,18.0,0.0,ok,real_repeated_split,1
AID362 PubChem Bioassay,Class weight LogisticRegression,0.5,0.6383622959452343,0.04697986577181208,0.3888888888888889,0.08383233532934131,0.5875963240662504,0.10158037132468449,0.6735562576794805,0.08510193997387301,0.8808411214953271,1124.0,142.0,11.0,7.0,ok,real_repeated_split,1
AID362 PubChem Bioassay,Custom weighted log-loss LR,0.5,0.5472617166929963,0.08695652173913043,0.1111111111111111,0.0975609756097561,0.33055715966882365,0.08378593727440663,0.6486308583464981,0.109093754289629,0.971183800623053,1245.0,21.0,16.0,2.0,ok,real_repeated_split,1
AID362 PubChem Bioassay,Random Oversampling + RF,0.5,0.55318588730911,0.25,0.1111111111111111,0.15384615384615385,0.33254250580558353,0.15893120618318063,0.8825478321923819,0.2725901481042907,0.9828660436137072,1260.0,6.0,16.0,2.0,ok,real_repeated_split,1
AID362 PubChem Bioassay,Random Undersampling + RF,0.5,0.7948920484465508,0.03648068669527897,0.9444444444444444,0.07024793388429752,0.7806967718229934,0.14420374961560725,0.8466298051606109,0.17017566774045367,0.6495327102803738,817.0,449.0,1.0,17.0,ok,real_repeated_split,1
AID362 PubChem Bioassay,SMOTE + RF,0.5,0.5543707214323328,0.4,0.1111111111111111,0.17391304347826086,0.3329381543759799,0.20527115323791828,0.8098121818500966,0.16109319118978094,0.985202492211838,1263.0,3.0,16.0,2.0,ok,real_repeated_split,1
AID362 PubChem Bioassay,Borderline-SMOTE + RF,0.5,0.5547656661400737,0.5,0.1111111111111111,0.18181818181818182,0.3330699327917381,0.23107688003470161,0.7920396700017553,0.16969832073884167,0.985981308411215,1264.0,2.0,16.0,2.0,ok,real_repeated_split,1
AID362 PubChem Bioassay,ADASYN + RF,0.5,0.5543707214323328,0.4,0.1111111111111111,0.17391304347826086,0.3329381543759799,0.20527115323791828,0.8319729682288926,0.229795562169053,0.985202492211838,1263.0,3.0,16.0,2.0,ok,real_repeated_split,1
AID362 PubChem Bioassay,SMOTE-Tomek + RF,0.5,0.5543707214323328,0.4,0.1111111111111111,0.17391304347826086,0.3329381543759799,0.20527115323791828,0.8328286817623309,0.21533536506652928,0.985202492211838,1263.0,3.0,16.0,2.0,ok,real_repeated_split,1
AID362 PubChem Bioassay,SMOTE-ENN + RF,0.5,0.5539757767245919,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3328063237810765,0.1860976759749011,0.7935975074600667,0.17351387622102998,0.9844236760124611,1262.0,4.0,16.0,2.0,ok,real_repeated_split,1
AID362 PubChem Bioassay,Balanced Bagging,0.5,0.8242496050552923,0.060240963855421686,0.8333333333333334,0.11235955056179775,0.8241995494504811,0.19283803987063403,0.8644461997542566,0.12570285254818842,0.8154205607476636,1032.0,234.0,3.0,15.0,ok,real_repeated_split,1
AID362 PubChem Bioassay,Balanced Random Forest,0.5,0.759478672985782,0.06030150753768844,0.6666666666666666,0.11059907834101383,0.7537863000899293,0.16859448419715686,0.8733982797963841,0.19851741110168564,0.8496884735202492,1079.0,187.0,6.0,12.0,ok,real_repeated_split,1
AID362 PubChem Bioassay,EasyEnsemble,0.5,0.7567140600315956,0.03571428571428571,0.8333333333333334,0.0684931506849315,0.7528251162177142,0.1286622790319222,0.8260926803580833,0.12056242070824578,0.6822429906542056,861.0,405.0,3.0,15.0,ok,real_repeated_split,1
AID362 PubChem Bioassay,RUSBoost,0.5,,,,,,,,,,,,,,"error: ValueError: BaseClassifier in AdaBoostClassifier ensemble is worse than random, ensemble can not be fit.",real_repeated_split,1
AID362 PubChem Bioassay,Baseline RF,0.5,0.5273828330700369,0.5,0.05555555555555555,0.1,0.23560915264533125,0.1632685250994453,0.8498771283131472,0.30671994372058325,0.985981308411215,1265.0,1.0,17.0,1.0,ok,real_repeated_split,2
