dataset,scenario,method,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,g_mean_mean,g_mean_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_ok,n_error,n_skipped,n_other_status,n_total
AID362 PubChem Bioassay,real_repeated_split,Random Oversampling + RF,0.9854620976116304,0.0023793227907350895,0.591012813761629,0.04295069512714334,0.4583333333333333,0.19094065395649334,0.1851851851851852,0.0848625128695526,0.26282051282051283,0.11591757256426362,0.42224274892285746,0.09774701957297274,0.2845509977430362,0.12628466751083653,0.8612793283014452,0.02890046388146062,0.3123050966040308,0.061463579690921866,1262.0,1.7320508075688772,4.0,1.7320508075688772,14.666666666666666,1.5275252316519465,3.3333333333333335,1.5275252316519465,3,0,0,0,3
AID362 PubChem Bioassay,real_repeated_split,Random Undersampling + RF,0.6653686396677051,0.035110130720803254,0.7572845357205548,0.0660523076493211,0.03500518777750034,0.0066723878488561305,0.8518518518518517,0.11564811108145182,0.0672282682403928,0.012604610068555639,0.7503217895301298,0.061297174475516775,0.12790064536086806,0.03438490248253758,0.8085249546544966,0.045173893900284506,0.11212648953679683,0.050273496529708264,839.0,44.30575583375144,427.0,44.30575583375144,2.6666666666666665,2.0816659994661326,15.333333333333334,2.081665999466133,3,0,0,0,3
AID362 PubChem Bioassay,real_repeated_split,SMOTE + RF,0.9865005192107996,0.001189661395367572,0.5915394067052835,0.03218963138994123,0.546031746031746,0.13513521684947785,0.1851851851851852,0.06415002990995841,0.2757487922705314,0.08844396103469285,0.424938607966243,0.079674784457732,0.31222111583497497,0.09377586082694502,0.84961383184132,0.03450955245410033,0.26180554639264014,0.09298502184110886,1263.3333333333333,0.5773502691896586,2.6666666666666665,0.5773502691896257,14.666666666666666,1.1547005383792515,3.3333333333333335,1.1547005383792515,3,0,0,0,3
AID362 PubChem Bioassay,real_repeated_split,SMOTE-ENN + RF,0.9846832814122534,0.001959977786934259,0.5723626470071967,0.032533455154915666,0.3849206349206349,0.16680832981733096,0.14814814814814814,0.06415002990995841,0.2135042735042735,0.09245050680572105,0.37873149431221265,0.07977331083393173,0.23201852753440577,0.10395534226242895,0.8110555263003921,0.01981156915269005,0.20591896307115345,0.05212714337512684,1261.6666666666667,1.5275252316519219,4.333333333333333,1.5275252316519465,15.333333333333334,1.1547005383792517,2.6666666666666665,1.1547005383792517,3,0,0,0,3
AID362 PubChem Bioassay,real_repeated_split,SMOTE-Tomek + RF,0.9870197300103842,0.001959977786934292,0.6009303142004564,0.04277703427385232,0.6015873015873016,0.21823520842896726,0.20370370370370372,0.0848625128695526,0.3035265700483092,0.12221235949589787,0.443540629720681,0.09979212726976953,0.34459908547613666,0.13622789961352708,0.8432288923995085,0.012423681060951763,0.29296367789741884,0.07345892591547382,1263.6666666666667,1.1547005383792186,2.3333333333333335,1.1547005383792517,14.333333333333334,1.5275252316519468,3.6666666666666665,1.5275252316519468,3,0,0,0,3
Abalone19,real_repeated_split,ADASYN + RF,0.9851024208566108,0.001661345570204446,0.5130463931348888,0.027823157464582245,0.025641025641025644,0.04441155916843275,0.03333333333333333,0.05773502691896258,0.028985507246376812,0.050204371233880496,0.10489920756233852,0.18169075717168373,0.02180720895190216,0.04982057702723312,0.7894609814963798,0.019229694552224636,0.041031415619623667,0.022175859901279172,1234.0,2.6457513110645907,9.0,2.6457513110645907,9.666666666666666,0.5773502691896255,0.3333333333333333,0.5773502691896258,3,0,0,0,3
Abalone19,real_repeated_split,Balanced Bagging,0.7459430699654163,0.026914902622914023,0.6735585947975329,0.07853203595301643,0.018614587260717807,0.004623810512789317,0.6,0.17320508075688767,0.03610084239183992,0.008992871965648507,0.6634570883432102,0.09531730511824577,0.07055748368929245,0.03132616883689694,0.7844328238133548,0.024560841060217494,0.03335703602590347,0.0066676228988960685,928.6666666666666,34.78984526170437,314.3333333333333,34.78984526170436,4.0,1.7320508075688772,6.0,1.7320508075688772,3,0,0,0,3
Abalone19,real_repeated_split,Balanced Random Forest,0.7470071827613727,0.014431876552294613,0.6906275140788415,0.07179370814446577,0.019734464318642817,0.003934441418074421,0.6333333333333333,0.1527525231651947,0.03827303330391869,0.007668903089412463,0.6846138780326753,0.07750123119690895,0.07765168186421408,0.028100602530523697,0.7604183427192277,0.06768280069529176,0.026573342030845132,0.0102038319470345,929.6666666666666,19.008769905844353,313.3333333333333,19.00876990584433,3.6666666666666665,1.5275252316519468,6.333333333333333,1.5275252316519465,3,0,0,0,3
Abalone19,real_repeated_split,Baseline RF,0.9920191540303273,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6270984178063824,0.09029099437442341,0.01977907094516158,0.009991536488850664,1243.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3,0,0,0,3
Abalone19,real_repeated_split,Borderline-SMOTE + RF,0.9888268156424581,0.0021115333687666514,0.514923572003218,0.029343025506266305,0.08333333333333333,0.14433756729740646,0.03333333333333333,0.05773502691896258,0.047619047619047616,0.08247860988423225,0.10528197504860448,0.1823537299053818,0.04760325180522244,0.09208618828033717,0.7410565835344597,0.1100509366741311,0.03566328664062914,0.019770311714387517,1238.6666666666667,2.3094010767584865,4.333333333333333,2.309401076758503,9.666666666666666,0.5773502691896255,0.3333333333333333,0.5773502691896258,3,0,0,0,3
