dataset,scenario,experiment,n_samples,method,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,specificity_mean,specificity_std,g_mean_mean,g_mean_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_ok,n_error,n_skipped,n_other_status,n_total
synthetic_scalability,n_samples=10000,scalability,10000,Random Oversampling + RF,0.9548888888888888,0.00627458129044239,0.7664207202160997,0.04300623083834859,0.947404232042287,0.027083444831737243,0.536019536019536,0.08793752175839238,0.6807110466552118,0.06811640442517025,0.9968219044126635,0.0020196444984547455,0.7292066173542812,0.06075454130810549,0.6916427531015664,0.05085507869972708,0.9835187222425947,0.0029916358538648853,0.8926857012535029,0.013656274930009649,2718.3333333333335,5.507570547286106,8.666666666666666,5.507570547286102,126.66666666666667,24.00694344004112,146.33333333333334,24.006943440041116,3,0,0,0,3
synthetic_scalability,n_samples=10000,scalability,10000,Random Undersampling + RF,0.9144444444444444,0.001677740985615771,0.9095384507925761,0.009277008971472675,0.517180951176787,0.005600683724627721,0.9035409035409036,0.0208287205240928,0.6577488116945603,0.006224307959848339,0.9155359980442489,0.0029866255281434614,0.9094687545265154,0.00932519068030277,0.6442305269908591,0.008875044248486957,0.9706496290654707,0.0070085815214676155,0.8324036461593658,0.010117680189590217,2496.6666666666665,8.144527815247143,230.33333333333334,8.144527815247082,26.333333333333332,5.686240703077327,246.66666666666666,5.686240703077324,3,0,0,0,3
synthetic_scalability,n_samples=10000,scalability,10000,SMOTE + RF,0.9671111111111111,0.002834966849371844,0.8709338577325375,0.025365047155315804,0.8688900495727822,0.0205960573700571,0.7533577533577533,0.05312407794336289,0.8059029015910917,0.02397917684812255,0.9885099621073218,0.0026527972636854664,0.8625770434583598,0.02942619962554833,0.791085431255168,0.022474552547161984,0.9857211809907079,0.0020995088579456767,0.9021465323451214,0.013195322267558422,2695.6666666666665,7.234178138070206,31.333333333333332,7.234178138070235,67.33333333333333,14.502873278538061,205.66666666666666,14.502873278538061,3,0,0,0,3
synthetic_scalability,n_samples=10000,scalability,10000,SMOTE-ENN + RF,0.9630000000000001,0.0003333333333333799,0.8879009390560547,0.015136378537002365,0.7982049381655706,0.02382494637629211,0.796092796092796,0.034035066824826266,0.7964453913413235,0.005620853609751217,0.9797090820193132,0.0037635507440021056,0.8829806667048697,0.017282126546577677,0.7765269331770054,0.005054917310212537,0.9816350580927038,0.0024054902254045077,0.8734605540895041,0.01269475736502355,2671.6666666666665,10.263202878893754,55.333333333333336,10.263202878893768,55.666666666666664,9.291573243177568,217.33333333333334,9.291573243177568,3,0,0,0,3
synthetic_scalability,n_samples=10000,scalability,10000,SMOTE-Tomek + RF,0.9671111111111111,0.002834966849371844,0.8709338577325375,0.025365047155315804,0.8688900495727822,0.0205960573700571,0.7533577533577533,0.05312407794336289,0.8059029015910917,0.02397917684812255,0.9885099621073218,0.0026527972636854664,0.8625770434583598,0.02942619962554833,0.791085431255168,0.022474552547161984,0.9857211809907079,0.0020995088579456767,0.9021465323451214,0.013195322267558422,2695.6666666666665,7.234178138070206,31.333333333333332,7.234178138070235,67.33333333333333,14.502873278538061,205.66666666666666,14.502873278538061,3,0,0,0,3
synthetic_scalability,n_samples=25000,scalability,25000,ADASYN + RF,0.9800444444444444,0.00574623870538452,0.9325010674119768,0.006378799532147608,0.9056552818936098,0.0582818024597306,0.8743890518084066,0.011851765056678523,0.8890838483810374,0.0286412146128255,0.9906130830155471,0.006352715701879639,0.9306694507935792,0.006661763346553497,0.8786878177579154,0.032251233336808356,0.9928558309942028,0.0032082359020328276,0.9452240775959452,0.02346281382272858,6754.0,43.31281565541543,64.0,43.31281565541543,85.66666666666667,8.082903768654761,596.3333333333334,8.082903768654752,3,0,0,0,3
synthetic_scalability,n_samples=25000,scalability,25000,Balanced Bagging,0.9543555555555555,0.01098713051879498,0.9317877867424135,0.00624260511564649,0.6938255033936308,0.06193725335506438,0.9042033235581622,0.0022397730669383364,0.7841354566736028,0.04034802460056707,0.9593722499266647,0.012061815935802593,0.9313670939217035,0.006087540819899715,0.7681423351443201,0.04061122833778224,0.9804588337409429,0.0034568349634930616,0.8810277121429341,0.03069268709605349,6541.0,82.23746105030237,277.0,82.23746105030237,65.33333333333333,1.5275252316519463,616.6666666666666,1.5275252316519499,3,0,0,0,3
synthetic_scalability,n_samples=25000,scalability,25000,Balanced Random Forest,0.9694666666666666,0.01001953647186896,0.933940962440002,0.00603799621449461,0.8029134096618947,0.07706430328840443,0.8905180840664711,0.011851765056678523,0.8429342513371552,0.04191837462844247,0.9773638408135327,0.011524923176091424,0.9328948572450834,0.006108283406264788,0.828406881000982,0.04400752599772476,0.9884776138833237,0.0033933580572341865,0.9312929414450247,0.022495698593694054,6663.666666666667,78.57692621459148,154.33333333333334,78.57692621459135,74.66666666666667,8.082903768654761,607.3333333333334,8.082903768654752,3,0,0,0,3
synthetic_scalability,n_samples=25000,scalability,25000,Baseline RF,0.9694666666666668,0.004678081278092984,0.8356303838353253,0.0275293329231571,0.9889359852594528,0.011905785389463732,0.6720430107526881,0.055512300545457194,0.799213358946352,0.03837943500586258,0.9992177569179622,0.0008594111582695671,0.8189790359198982,0.03406646464351279,0.8010882460596646,0.033189995585678596,0.9864856252797566,0.004034316624249897,0.935966435650739,0.016717920741835958,6812.666666666667,5.859465277082444,5.333333333333333,5.859465277082315,223.66666666666666,37.859388972001824,458.3333333333333,37.859388972001824,3,0,0,0,3
synthetic_scalability,n_samples=25000,scalability,25000,Borderline-SMOTE + RF,0.9787555555555555,0.004772762225300901,0.9232147265862575,0.0070512205356256935,0.9072733461806313,0.046493376625958704,0.855327468230694,0.012209184747601942,0.8801773330032773,0.0245531798376069,0.9911019849418207,0.0048408697739265,0.9207002045716498,0.007417383402355904,0.869200886631857,0.027823196666628563,0.9925698377046327,0.0033361528480023547,0.9431898122867167,0.026078217178253205,6757.333333333333,33.00505011863072,60.666666666666664,33.005050118630834,98.66666666666667,8.326663997864532,583.3333333333334,8.326663997864527,3,0,0,0,3
synthetic_scalability,n_samples=25000,scalability,25000,Class weight LogisticRegression,0.8305777777777777,0.06060353247252299,0.823460238509586,0.06190240410136109,0.33991334439330556,0.09055220169493372,0.8147605083088955,0.06358183355868247,0.47714917364889375,0.10286882259154131,0.8321599687102768,0.06032447527087301,0.8234095284877428,0.0619250399580022,0.45270877645121166,0.11488131604682464,0.9027209901224605,0.058392268606523565,0.6133244472230457,0.1940064366940692,5673.666666666667,411.2922723968119,1144.3333333333333,411.2922723968119,126.33333333333333,43.3628104870214,555.6666666666666,43.36281048702141,3,0,0,0,3
synthetic_scalability,n_samples=25000,scalability,25000,Custom weighted log-loss LR,0.9042222222222223,0.02420847724187483,0.82173840047921,0.06198537497271855,0.4842243767444954,0.08834156679118318,0.7209188660801563,0.10834907378748065,0.5791813082854357,0.09792574926303431,0.9225579348782634,0.01593992735725212,0.8142593257386722,0.0692410861669162,0.5409324713202298,0.11130739804214472,0.9021823377655663,0.05805220870008959,0.6391695169503869,0.17717443180467396,6290.0,108.67842472174502,528.0,108.67842472174502,190.33333333333334,73.89406832306186,491.6666666666667,73.89406832306186,3,0,0,0,3
synthetic_scalability,n_samples=25000,scalability,25000,EasyEnsemble,0.8492000000000001,0.03767533823486006,0.8451393112418483,0.03662779462917814,0.3661164928074017,0.06936974869627648,0.8401759530791789,0.03700712452822284,0.5083553846433725,0.07320296344916555,0.8501026694045174,0.03806631338415918,0.8450985146745142,0.0366112879325051,0.4892893980106598,0.07769106064905494,0.9191051546320805,0.036609244200611464,0.6603043292070646,0.11197604633962689,5796.0,259.53612465319736,1022.0,259.53612465319736,109.0,25.238858928247925,573.0,25.238858928247925,3,0,0,0,3
synthetic_scalability,n_samples=25000,scalability,25000,RF (balanced_subsample),0.9633777777777778,0.004574972171540568,0.8021504229360095,0.023618047926958975,0.9870359323978432,0.010727269001139898,0.6050830889540567,0.04692845734537695,0.7496223499534,0.03786643301443346,0.9992177569179622,0.0006613742670611399,0.7771795083794828,0.0302809112548786,0.7569968273411191,0.03382185979919111,0.9925210908850044,0.0012826101559589463,0.9508177570880973,0.014177919456276493,6812.666666666667,4.5092497528230115,5.333333333333333,4.509249752822894,269.3333333333333,32.00520790954705,412.6666666666667,32.00520790954705,3,0,0,0,3
synthetic_scalability,n_samples=25000,scalability,25000,RUSBoost,0.8216444444444444,0.0785346160996915,0.6698712682517413,0.07942160811972289,0.28832803534646595,0.0923328583461635,0.4843597262952102,0.2288956027091772,0.32631202685770044,0.07539117744885661,0.8553828102082722,0.10358235091889986,0.6228122110420129,0.14380971421466027,0.2705904688533921,0.08165796834129753,0.7135604619707422,0.10912908409489086,0.2525904408392833,0.10119614321240987,5832.0,706.2244685650589,986.0,706.2244685650589,351.6666666666667,156.10680104765882,330.3333333333333,156.10680104765882,3,0,0,0,3
synthetic_scalability,n_samples=25000,scalability,25000,Random Oversampling + RF,0.9739999999999999,0.0036246072584182076,0.8662753587407493,0.017133077517480024,0.9728003323347352,0.016202404067937055,0.7346041055718476,0.03381983165592606,0.8368411996034287,0.02512510468249666,0.9979466119096511,0.0012531539667523643,0.8560609329771568,0.019936020348286055,0.8327477994249627,0.0248750920260895,0.9932126147019834,0.0012970268299676497,0.9525898416350732,0.013656751931306525,6804.0,8.54400374531753,14.0,8.54400374531753,181.0,23.065125189341593,501.0,23.065125189341593,3,0,0,0,3
synthetic_scalability,n_samples=25000,scalability,25000,Random Undersampling + RF,0.9469333333333333,0.014940474483020154,0.9413413748380961,0.010481303744296164,0.6486367426124358,0.07287374634859024,0.9345063538611926,0.010808086210897369,0.7642744248199284,0.051913054675062575,0.9481763958149996,0.016216442816881806,0.9412882643456343,0.010475036851048653,0.7521064393689588,0.05127520690767792,0.9858771502723943,0.004551963421080247,0.916548661495702,0.03653791462999329,6464.666666666667,110.56370712550009,353.3333333333333,110.56370712549999,44.666666666666664,7.371114795831994,637.3333333333334,7.371114795831988,3,0,0,0,3
synthetic_scalability,n_samples=25000,scalability,25000,SMOTE + RF,0.9799555555555556,0.005017893906736074,0.928933230334171,0.0065332192705243,0.9114072961788305,0.05624391349850945,0.8665689149560117,0.014881072676088285,0.8876731206871362,0.024672043428678722,0.9912975457123302,0.006085208910727148,0.9268038094835388,0.007045128265110824,0.8774634506447027,0.028114600527971243,0.9933174203641846,0.001999616937012398,0.9545370255957678,0.01692909382694303,6758.666666666667,41.48895435333775,59.333333333333336,41.48895435333763,91.0,10.14889156509222,591.0,10.14889156509222,3,0,0,0,3
synthetic_scalability,n_samples=25000,scalability,25000,SMOTE-ENN + RF,0.9784888888888889,0.006358662799094801,0.93296509412294,0.0022001640827002894,0.8887245133772012,0.06553145247296441,0.8773216031280547,0.0075243422865790026,0.8820135278357264,0.029892419859705397,0.9886085851178253,0.0076075716159988305,0.9312854705421522,0.0022355504531206653,0.8707951328376787,0.0333804111373412,0.9929551167959461,0.002356005015187147,0.947007917932592,0.022328893835406007,6740.333333333333,51.86842327787996,77.66666666666667,51.86842327788009,83.66666666666667,5.131601439446886,598.3333333333334,5.131601439446868,3,0,0,0,3
synthetic_scalability,n_samples=25000,scalability,25000,SMOTE-Tomek + RF,0.9799555555555556,0.005017893906736074,0.928933230334171,0.0065332192705243,0.9114072961788305,0.05624391349850945,0.8665689149560117,0.014881072676088285,0.8876731206871362,0.024672043428678722,0.9912975457123302,0.006085208910727148,0.9268038094835388,0.007045128265110824,0.8774634506447027,0.028114600527971243,0.9933174203641846,0.001999616937012398,0.9545370255957678,0.01692909382694303,6758.666666666667,41.48895435333775,59.333333333333336,41.48895435333763,91.0,10.14889156509222,591.0,10.14889156509222,3,0,0,0,3
synthetic_scalability,n_samples=5000,scalability,5000,ADASYN + RF,0.9602222222222222,0.003906310184721524,0.8493443224322715,0.019045697102580698,0.8246747332812907,0.01818311711902655,0.7138435666237298,0.03768079702299627,0.765038259745921,0.027438749333203373,0.9848450782408135,0.0015220628282996127,0.8382739308085004,0.022307124683532912,0.7458814986454211,0.028412465992904163,0.9759274972920268,0.007535181070250302,0.8367405804109436,0.03156933071272783,1343.0,1.7320508075688772,20.666666666666668,2.081665999466132,39.0,5.0,97.33333333333333,5.507570547286102,3,0,0,0,3
synthetic_scalability,n_samples=5000,scalability,5000,Balanced Bagging,0.9115555555555556,0.012513696200267665,0.8578190973870852,0.013843101284634283,0.5134177051831169,0.04957671257944961,0.7921497065979676,0.04509280962779356,0.6207462763373307,0.021454401820455656,0.9234884881762028,0.018097201874507883,0.8548851499881991,0.01648031358915076,0.5922536276725361,0.017206444632791862,0.9453482656348093,0.009000928498278375,0.7485146190778278,0.019391344235349266,1259.3333333333333,24.906491790963504,104.33333333333333,24.664414311581236,28.333333333333332,6.110100926607786,108.0,6.244997998398398,3,0,0,0,3
