source,method,f1_mean,f1_std,pr_auc_mean,pr_auc_std,recall_mean,precision_mean,mcc_mean,g_mean_mean,rank_f1,rank_pr_auc
synthetic_ir,RF (balanced_subsample),0.0,0.0,0.0292135560648968,0.0266217157433701,0.0,0.0,0.0,0.0,12.0,8.0
synthetic_ir,RUSBoost,0.0033499209171256,0.0001929329977788,0.0016321257888131,0.0004333198886176,0.4666666666666667,0.0016812029983256,0.0132847053916085,0.5766344729525343,8.0,15.0
synthetic_ir,Random Oversampling + RF,0.0,0.0,0.0400173850698522,0.0433230994088192,0.0,0.0,0.0,0.0,12.0,4.0
synthetic_ir,Random Undersampling + RF,0.0049239792081089,0.0023842978007924,0.0244726327999284,0.0286748369803593,0.6444444444444444,0.0024724601533802,0.0257643574080378,0.6710174168133897,6.0,10.0
synthetic_ir,SMOTE + RF,0.0,0.0,0.0300063579723847,0.0245624781100705,0.0,0.0,-0.0004353388935271,0.0,12.0,6.5
synthetic_ir,SMOTE-ENN + RF,0.0,0.0,0.0250674396695218,0.0241897431424337,0.0,0.0,-0.0005413986783425,0.0,12.0,9.0
synthetic_ir,SMOTE-Tomek + RF,0.0,0.0,0.0300063579723847,0.0245624781100705,0.0,0.0,-0.0004353388935271,0.0,12.0,6.5
synthetic_ir,ADASYN + RF,0.3978304787000439,0.0510588468681673,0.4970650294430535,0.0662155258427126,0.2833333333333333,0.7203373015873016,0.4422119870671123,0.529984060502091,4.0,6.0
synthetic_ir,Balanced Bagging,0.1490595771708556,0.010406407970125,0.2605118976485581,0.0199304425406437,0.7333333333333334,0.0830158610914955,0.228390944923681,0.8206722498826263,8.0,12.0
synthetic_ir,Balanced Random Forest,0.2556142445645208,0.0327738079198958,0.4131549938516128,0.082004127444938,0.6999999999999998,0.1572010390058097,0.3182271257617623,0.8201866982351759,7.0,8.0
synthetic_ir,Baseline RF,0.0218579234972677,0.0189295170226106,0.400172223023042,0.1216480382096095,0.0111111111111111,0.6666666666666666,0.0856462327355179,0.086066296582387,15.0,9.0
synthetic_ir,Borderline-SMOTE + RF,0.3810080757449178,0.1021704688593096,0.5021015538873732,0.0573539433921081,0.2555555555555555,0.8694444444444445,0.457162512841628,0.4987799723661432,6.0,4.0
synthetic_ir,Class weight LogisticRegression,0.0662396862742677,0.0239122117844086,0.1776529292415032,0.1495422953746679,0.7111111111111111,0.0347900484631895,0.1243497823867236,0.7483997340525578,13.0,14.0
synthetic_ir,Custom weighted log-loss LR,0.384778653729533,0.2746689377401229,0.3875299269137362,0.2284716769369281,0.2944444444444444,0.7060810810810811,0.4287244048678898,0.5134673081920584,5.0,10.0
